,Days,Avengers4_Endgame,Avengers3_Infinity_War,Avengers2_Age_of_Ultron,Avengers1_The_Avengers
0,1,"$157,461,641","$106,334,939","$84,424,532","$80,813,985"
1,2,"$109,264,122","$82,131,612","$56,526,635","$69,557,990"
2,3,"$90,389,244","$69,231,632","$50,319,942","$57,066,733"
3,4,"$36,874,439","$24,740,117","$13,228,555","$18,898,999"
4,5,"$33,110,349","$23,426,108","$13,132,812","$17,677,190"
5,6,"$25,251,991","$16,966,862","$9,409,838","$13,612,910"
6,7,"$21,542,852","$15,501,270","$8,613,154","$12,391,566"
7,8,"$40,736,774","$31,453,749","$21,232,362","$29,223,517"
8,9,"$61,527,049","$46,676,705","$33,835,656","$42,905,519"
9,10,"$45,119,388","$36,644,356","$22,678,911","$30,923,238"
10,11,"$10,709,607","$8,283,575","$5,398,779","$7,923,789"
11,12,"$12,518,963","$10,673,500","$5,990,413","$8,477,854"
12,13,"$8,429,166","$7,051,981","$4,342,154","$6,339,757"
13,14,"$7,510,154","$6,895,697","$4,037,065","$6,208,368"
14,15,"$16,190,479","$15,986,612","$10,019,125","$15,236,046"
15,16,"$27,542,359","$26,938,937","$17,204,358","$23,587,069"
16,17,"$19,567,066","$19,152,498","$11,636,417","$16,820,987"
17,18,"$4,702,092","$4,625,938","$3,435,547","$5,687,934"
18,19,"$5,742,618","$6,009,292","$3,020,580","$4,917,764"
19,20,"$3,788,021","$4,193,985","$2,329,898","$3,968,406"
20,21,"$3,416,496","$3,441,594","$2,353,746","$4,445,167"
21,22,"$7,470,727","$7,306,785","$5,356,424","$9,664,323"
22,23,"$12,903,478","$12,791,859","$8,286,236","$14,066,384"
23,24,"$9,599,300","$9,354,259","$8,049,037","$12,956,164"
24,25,"$3,162,240","$2,708,094","$6,507,209","$10,535,543"
25,26,"$2,900,871","$2,859,727","$1,949,182","$3,266,753"
26,27,"$1,994,512","$1,901,495","$1,429,415","$2,515,041"
27,28,"$1,905,738","$1,911,460","$1,402,043","$2,774,984"
28,29,"$4,278,676","$4,234,857","$2,883,572","$5,641,642"
29,30,"$6,452,368","$6,473,278","$4,917,855","$9,017,913"
30,31,"$6,469,698","$6,586,522","$3,599,975","$5,826,863"
31,32,"$4,863,113","$5,159,885","$1,082,288","$2,042,375"
32,33,"$1,867,668","$1,978,217","$1,261,068","$2,221,713"
33,34,"$1,288,624","$1,464,526","$973,884","$1,862,060"
34,35,"$1,136,901","$1,407,009","$945,229","$1,974,179"
35,36,"$2,074,012","$2,819,868","$1,842,660","$3,336,924"
36,37,"$3,380,393","$4,511,768","$2,656,411","$4,546,865"
37,38,"$2,583,086","$3,175,643","$1,840,592","$3,365,949"
38,39,"$869,816","$1,163,591","$747,554","$1,385,505"
39,40,"$1,208,347","$1,555,271","$851,565","$1,547,796"
40,41,"$900,345","$1,073,676","$718,865","$1,349,418"
41,42,"$861,157","$1,098,950","$630,675","$1,305,722"
42,43,"$1,252,000","$1,836,286","$1,064,656","$2,206,155"
43,44,"$2,041,000","$2,998,633","$1,522,453","$3,292,985"
44,45,"$1,507,000","$2,403,780","$1,087,948","$3,406,327"
45,46,"$1,507,000","$922,933","$451,436","$1,133,339"
46,47,"$1,507,000","$1,182,541","$502,192","$1,163,906"
47,48,"$1,507,000","$895,177","$442,554","$1,101,648"
48,49,"$1,507,000","$766,901","$426,496","$1,054,517"
49,50,"$1,507,000","$1,454,197","$734,327","$2,212,406"
50,51,"$1,507,000","$1,992,161","$1,041,234","$3,041,789"
51,52,"$1,507,000","$1,995,903","$1,071,843","$1,923,466"
52,53,"$1,507,000","$641,605","$325,340","$962,092"
53,54,"$1,507,000","$857,456","$390,085","$989,546"
54,55,"$1,507,000","$628,375","$316,379","$838,655"
55,56,"$1,507,000","$510,802","$306,094","$867,338"
56,57,"$1,507,000","$727,411","$482,413","$1,305,521"
57,58,"$1,507,000","$1,090,221","$703,101","$1,816,647"
58,59,"$1,507,000","$766,596","$503,424","$1,299,503"
59,60,"$1,507,000","$352,045","$248,127","$714,777"
60,61,"$1,507,000","$470,116","$240,934","$544,755"
61,62,"$1,507,000","$346,667","$162,998","$718,276"
62,63,"$1,507,000","$345,207","$219,026","$477,208"
63,64,"$1,507,000","$439,213","$363,583","$680,818"
64,65,"$1,507,000","$615,309","$269,388","$918,223"
65,66,"$1,507,000","$488,182","$253,181","$569,083"
66,67,"$1,507,000","$288,063","$140,338","$261,442"
67,68,"$1,507,000","$393,874","$155,118","$311,771"
68,69,"$1,507,000","$385,514","$136,103","$272,336"
69,70,"$1,507,000","$236,607","$120,094","$288,299"
70,71,"$1,507,000","$285,749","$128,301","$395,434"
71,72,"$1,507,000","$387,255","$185,695","$587,183"
72,73,"$1,507,000","$263,331","$141,768","$416,137"
73,74,"$1,507,000","$131,183","$69,841","$188,724"
74,75,"$1,507,000","$160,049","$83,314","$221,405"
75,76,"$1,507,000","$134,060","$74,545","$194,838"
76,77,"$1,507,000","$112,336","$63,821","$172,561"
77,78,"$1,507,000","$179,449","$468,050","$190,088"
78,79,"$1,507,000","$265,804","$468,050","$254,913"
79,80,"$1,507,000","$176,127","$468,050","$175,410"
