,Days,Avengers4,Avengers3,Avengers2,Avengers1,IronMan1,IronMan2,IronMan3,CaptainAmerica1,CaptainAmerica2,CaptainAmerica3,Thor1,Thor2,Thor3,Guardians1,Guardians2,AntMan1,AntMan2,CaptainMarvel,BlackPanther,DoctorStrange,SpiderMan,Hulk
0,1,"  $157,461,641","  $106,334,939","  $84,424,532","  $80,813,985","  $38,734,361","  $51,239,677","  $68,858,555","  $25,700,189","  $36,926,192","  $75,502,161","  $25,481,796","  $31,899,210","  $46,470,936","  $37,845,336","  $56,078,520","  $22,649,199","  $33,725,082","  $61,715,051","  $75,941,146","  $32,585,335","  $50,780,982","  $21,468,125"
1,2,"  $266,725,763","  $188,466,551","  $140,951,167","  $150,371,975","  $76,084,460","  $97,015,847","  $131,131,773","  $47,643,582","  $71,593,056","  $136,711,162","  $48,823,059","  $63,977,220","  $90,674,688","  $68,835,193","  $107,383,059","  $42,114,175","  $57,280,454","  $114,587,587","  $141,936,512","  $63,954,006","  $87,826,226","  $39,851,850"
2,3,"  $357,115,007","  $257,698,183","  $191,271,109","  $207,438,708","  $102,118,668","  $128,122,480","  $174,144,585","  $65,058,524","  $95,023,721","  $179,139,142","  $65,723,338","  $85,737,841","  $122,744,989","  $94,320,883","  $146,510,104","  $57,225,526","  $75,812,205","  $153,433,423","  $202,003,951","  $85,058,311","  $117,027,503","  $55,414,050"
3,4,"  $393,989,446","  $282,438,300","  $204,499,664","  $226,337,707","  $109,053,236","  $137,489,462","  $185,412,195","  $72,810,712","  $101,243,273","  $192,431,018","  $71,126,395","  $96,155,035","  $130,992,650","  $106,043,239","  $156,372,759","  $63,629,427","  $82,796,029","  $164,420,196","  $242,155,680","  $91,268,233","  $129,228,886","  $61,424,455"
4,5,"  $427,099,795","  $305,864,408","  $217,632,476","  $244,014,897","  $115,559,020","  $145,869,697","  $196,699,091","  $80,641,833","  $108,220,329","  $206,192,138","  $76,536,814","  $101,399,146","  $141,817,093","  $117,951,060","  $168,470,238","  $71,482,616","  $92,839,005","  $179,061,315","  $263,013,041","  $98,926,293","  $144,282,551","  $66,226,305"
5,6,"  $452,351,786","  $322,831,270","  $227,042,314","  $257,627,807","  $121,306,364","  $152,821,023","  $204,811,482","  $86,443,098","  $113,026,031","  $215,168,509","  $80,725,835","  $104,964,877","  $147,965,500","  $126,759,442","  $175,997,966","  $76,603,090","  $98,691,596","  $187,647,498","  $277,701,098","  $103,988,170","  $154,185,220","  $70,730,230"
6,7,"  $473,894,638","  $338,332,540","  $235,655,468","  $270,019,373","  $126,634,395","  $159,159,871","  $212,421,084","  $91,867,268","  $117,608,171","  $223,329,078","  $84,752,317","  $108,511,114","  $154,989,707","  $134,390,839","  $183,157,419","  $81,310,529","  $103,985,225","  $196,895,933","  $291,954,422","  $109,982,169","  $163,070,314","  $74,919,370"
7,8,"  $514,631,412","  $369,786,289","  $256,887,830","  $299,242,890","  $141,507,587","  $174,280,820","  $232,134,916","  $99,731,849","  $129,474,912","  $242,941,106","  $93,893,084","  $119,035,584","  $173,351,067","  $146,703,522","  $199,647,943","  $88,563,212","  $112,416,349","  $215,932,454","  $320,744,299","  $124,908,816","  $176,698,551","  $81,584,705"
8,9,"  $576,158,461","  $416,462,994","  $290,723,486","  $342,148,409","  $162,882,216","  $196,923,384","  $264,188,043","  $109,671,453","  $147,209,267","  $274,901,448","  $109,064,962","  $135,797,011","  $197,095,189","  $163,650,634","  $227,527,827","  $98,416,278","  $124,173,020","  $245,351,072","  $368,297,777","  $142,523,001","  $194,285,871","  $90,144,225"
9,10,"  $621,277,849","  $453,107,350","  $313,402,397","  $373,071,647","  $177,825,024","  $211,200,876","  $284,946,699","  $117,421,571","  $158,883,032","  $295,966,220","  $119,455,352","  $145,097,130","  $212,068,013","  $176,515,761","  $248,420,911","  $106,219,861","  $133,083,084","  $264,884,063","  $403,613,257","  $152,952,234","  $207,275,524","  $97,055,430"
10,11,"  $631,987,456","  $461,390,925","  $318,801,176","  $380,995,436","  $181,675,868","  $214,916,361","  $289,562,441","  $120,860,029","  $162,345,947","  $300,717,303","  $122,312,002","  $147,306,753","  $215,767,491","  $181,859,666","  $253,122,499","  $109,542,853","  $136,649,610","  $270,079,899","  $411,711,738","  $155,590,962","  $212,731,123","  $99,704,555"
11,12,"  $644,506,419","  $472,064,425","  $324,791,589","  $389,473,290","  $185,033,014","  $218,481,425","  $294,723,579","  $124,481,534","  $167,072,687","  $306,645,905","  $125,402,026","  $150,036,561","  $220,256,852","  $188,469,200","  $259,069,294","  $113,808,316","  $142,156,135","  $277,683,764","  $421,915,776","  $159,308,268","  $220,267,368","  $102,037,960"
