,Days,Avengers4_Endgame,Avengers3_Infinity_War,Avengers2_Age_of_Ultron,Avengers1_The_Avengers
0,1,"  $157,461,641","  $106,334,939","  $84,424,532","  $80,813,985"
1,2,"  $266,725,763","  $188,466,551","  $140,951,167","  $150,371,975"
2,3,"  $357,115,007","  $257,698,183","  $191,271,109","  $207,438,708"
3,4,"  $393,989,446","  $282,438,300","  $204,499,664","  $226,337,707"
4,5,"  $427,099,795","  $305,864,408","  $217,632,476","  $244,014,897"
5,6,"  $452,351,786","  $322,831,270","  $227,042,314","  $257,627,807"
6,7,"  $473,894,638","  $338,332,540","  $235,655,468","  $270,019,373"
7,8,"  $514,631,412","  $369,786,289","  $256,887,830","  $299,242,890"
8,9,"  $576,158,461","  $416,462,994","  $290,723,486","  $342,148,409"
9,10,"  $621,277,849","  $453,107,350","  $313,402,397","  $373,071,647"
10,11,"  $631,987,456","  $461,390,925","  $318,801,176","  $380,995,436"
11,12,"  $644,506,419","  $472,064,425","  $324,791,589","  $389,473,290"
12,13,"  $652,935,585","  $479,116,406","  $329,133,743","  $395,813,047"
13,14,"  $660,445,739","  $486,012,103","  $333,170,808","  $402,021,415"
14,15,"  $676,636,218","  $501,998,715","  $343,189,933","  $417,257,461"
15,16,"  $704,178,577","  $528,937,652","  $360,394,291","  $440,844,530"
16,17,"  $723,745,643","  $548,090,150","  $372,030,708","  $457,665,517"
17,18,"  $728,447,735","  $552,716,088","  $375,466,255","  $463,353,451"
18,19,"  $734,190,353","  $558,725,380","  $378,486,835","  $468,271,215"
19,20,"  $737,978,374","  $562,919,365","  $380,816,733","  $472,239,621"
20,21,"  $741,394,870","  $566,360,959","  $383,170,479","  $476,684,788"
21,22,"  $748,865,597","  $573,667,744","  $388,526,903","  $486,349,111"
22,23,"  $761,769,075","  $586,459,603","  $396,813,139","  $500,415,495"
23,24,"  $771,368,375","  $595,813,862","  $404,862,176","  $513,371,659"
24,25,"  $774,530,615","  $598,521,956","  $411,369,385","  $523,907,202"
25,26,"  $777,431,486","  $601,381,683","  $413,318,567","  $527,173,955"
26,27,"  $779,425,998","  $603,283,178","  $414,747,982","  $529,688,996"
27,28,"  $781,331,736","  $605,194,638","  $416,150,025","  $532,463,980"
28,29,"  $785,610,412","  $609,429,495","  $419,033,597","  $538,105,622"
29,30,"  $792,062,780","  $615,902,773","  $423,951,452","  $547,123,535"
30,31,"  $798,532,478","  $622,489,295","  $427,551,427","  $552,950,398"
31,32,"  $803,395,591","  $627,649,180","  $428,633,715","  $554,992,773"
32,33,"  $805,263,259","  $629,627,397","  $429,894,783","  $557,214,486"
33,34,"  $806,551,883","  $631,091,923","  $430,868,667","  $559,076,546"
34,35,"  $807,688,784","  $632,498,932","  $431,813,896","  $561,050,725"
35,36,"  $809,762,796","  $635,318,800","  $433,656,556","  $564,387,649"
36,37,"  $813,143,189","  $639,830,568","  $436,312,967","  $568,934,514"
37,38,"  $815,726,275","  $643,006,211","  $438,153,559","  $572,300,463"
38,39,"  $816,596,091","  $644,169,802","  $438,901,113","  $573,685,968"
39,40,"  $817,804,438","  $645,725,073","  $439,752,678","  $575,233,764"
40,41,"  $818,704,783","  $646,798,749","  $440,471,543","  $576,583,182"
41,42,"  $819,565,940","  $647,897,699","  $441,102,218","  $577,888,904"
42,43,"  $820,817,940","  $649,733,985","  $442,166,874","  $580,095,059"
43,44,"  $822,858,940","  $652,732,618","  $443,689,327","  $583,388,044"
44,45,"  $824,365,940","  $655,136,398","  $444,777,275","  $586,794,371"
45,46,"  $824,365,940","  $656,059,331","  $445,228,711","  $587,927,710"
46,47,"  $824,365,940","  $657,241,872","  $445,730,903","  $589,091,616"
47,48,"  $824,365,940","  $658,137,049","  $446,173,457","  $590,193,264"
48,49,"  $824,365,940","  $658,903,950","  $446,599,953","  $591,247,781"
49,50,"  $824,365,940","  $660,358,147","  $447,334,280","  $593,460,187"
50,51,"  $824,365,940","  $662,350,308","  $448,375,514","  $596,501,976"
51,52,"  $824,365,940","  $664,346,211","  $449,447,357","  $598,425,442"
52,53,"  $824,365,940","  $664,987,816","  $449,772,697","  $599,387,534"
53,54,"  $824,365,940","  $665,845,272","  $450,162,782","  $600,377,080"
54,55,"  $824,365,940","  $666,473,647","  $450,479,161","  $601,215,735"
55,56,"  $824,365,940","  $666,984,449","  $450,785,255","  $602,083,073"
56,57,"  $824,365,940","  $667,711,860","  $451,267,668","  $603,388,594"
57,58,"  $824,365,940","  $668,802,081","  $451,970,769","  $605,205,241"
58,59,"  $824,365,940","  $669,568,677","  $452,474,193","  $606,504,744"
59,60,"  $824,365,940","  $669,920,722","  $452,722,320","  $607,219,521"
60,61,"  $824,365,940","  $670,390,838","  $452,963,254","  $607,764,276"
61,62,"  $824,365,940","  $670,737,505","  $453,126,252","  $608,482,552"
62,63,"  $824,365,940","  $671,082,712","  $453,345,278","  $608,959,760"
63,64,"  $824,365,940","  $671,521,925","  $453,708,861","  $609,640,578"
64,65,"  $824,365,940","  $672,137,234","  $453,978,249","  $610,558,801"
65,66,"  $824,365,940","  $672,625,416","  $454,231,430","  $611,127,884"
66,67,"  $824,365,940","  $672,913,479","  $454,371,768","  $611,389,326"
67,68,"  $824,365,940","  $673,307,353","  $454,526,886","  $611,701,097"
68,69,"  $824,365,940","  $673,692,867","  $454,662,989","  $611,973,433"
69,70,"  $824,365,940","  $673,929,474","  $454,783,083","  $612,261,732"
70,71,"  $824,365,940","  $674,215,223","  $454,911,384","  $612,657,166"
71,72,"  $824,365,940","  $674,602,478","  $455,097,079","  $613,244,349"
72,73,"  $824,365,940","  $674,865,809","  $455,238,847","  $613,660,486"
73,74,"  $824,365,940","  $674,996,992","  $455,308,688","  $613,849,210"
74,75,"  $824,365,940","  $675,157,041","  $455,392,002","  $614,070,615"
75,76,"  $824,365,940","  $675,291,101","  $455,466,547","  $614,265,453"
76,77,"  $824,365,940","  $675,403,437","  $455,530,368","  $614,438,014"
77,78,"  $824,365,940","  $675,582,886","  $455,998,418","  $614,628,102"
78,79,"  $824,365,940","  $675,848,690","  $455,998,418","  $614,883,015"
79,80,"  $824,365,940","  $676,024,817","  $455,998,418","  $615,058,425"
80,81,"  $824,365,940","  $676,120,394","  $455,998,418","  $615,156,789"
81,82,"  $824,365,940","  $676,245,568","  $455,998,418","  $615,280,156"
82,83,"  $824,365,940","  $676,342,080","  $455,998,418","  $615,373,694"
83,84,"  $824,365,940","  $676,433,522","  $455,998,418","  $615,483,851"
84,85,"  $824,365,940","  $676,548,225","  $455,998,418","  $618,233,009"
85,86,"  $824,365,940","  $676,721,652","  $455,998,418","  $618,921,193"
86,87,"  $824,365,940","  $676,858,988","  $455,998,418","  $619,760,594"
87,88,"  $824,365,940","  $676,932,016","  $455,998,418","  $620,323,837"
88,89,"  $824,365,940","  $677,021,005","  $455,998,418","  $620,628,446"
89,90,"  $824,365,940","  $677,095,539","  $455,998,418","  $620,845,677"
