,Avengers4_Endgame
2019-04-26,157461641
2019-04-27,109264122
2019-04-28,90389244
2019-04-29,36874439
2019-04-30,33110349
2019-05-01,25251991
2019-05-02,21542852
2019-05-03,40736774
2019-05-04,61527049
2019-05-05,45119388
2019-05-06,10709607
2019-05-07,12518963
2019-05-08,8429166
2019-05-09,7510154
2019-05-10,16190479
2019-05-11,27542359
2019-05-12,19567066
2019-05-13,4702092
2019-05-14,5742618
2019-05-15,3788021
2019-05-16,3416496
2019-05-17,7470727
2019-05-18,12903478
2019-05-19,9599300
2019-05-20,3162240
2019-05-21,2900871
2019-05-22,1994512
2019-05-23,1905738
2019-05-24,4278676
2019-05-25,6452368
2019-05-26,6469698
2019-05-27,4863113
2019-05-28,1867668
2019-05-29,1288624
2019-05-30,1136901
2019-05-31,2074012
2019-06-01,3380393
2019-06-02,2583086
